,wellName,MD,CALI,GR,RHOB,NPHI,RACEHM_l10,RACELM_l10,RPCEHM_l10,RPCELM_l10,PHIF,SW,VSH
143,15/9-F-1 A,3445.3,8.5778,27.7977,2.2744,0.2478,-0.4810914263085858,-0.3361107013773386,-0.3056580896358188,-0.30557030904291693,0.2146,0.8441,0.1492
145,15/9-F-1 A,3445.5,8.5236,27.8993,2.3075,0.2445,-0.40516564441668207,-0.3038184128314762,-0.374790474618119,-0.37664731846200805,0.1957,0.9666,0.15
146,15/9-F-1 A,3445.6,8.5781,28.4738,2.324,0.2371,-0.3491099221436876,-0.28793985753892526,-0.43509732747079516,-0.40340290437353976,0.1863,1.0,0.1546
147,15/9-F-1 A,3445.7,8.5781,28.1596,2.3293,0.2332,-0.3141687253739364,-0.28642546222793025,-0.47172622283295623,-0.3981572102179019,0.1833,1.0,0.152
148,15/9-F-1 A,3445.8,8.5625,29.2281,2.3243,0.2349,-0.29370904274123666,-0.2949063894521268,-0.4664821379830325,-0.3844707763628672,0.1861,1.0,0.1605
149,15/9-F-1 A,3445.9,8.5471,30.0803,2.3158,0.2377,-0.274987274658843,-0.3008563126055163,-0.438898616350944,-0.3634118162701577,0.191,1.0,0.1672
150,15/9-F-1 A,3446.0,8.625,33.313,2.3098,0.2353,-0.21524010533599505,-0.30688888453785873,-0.3535962737769305,-0.3315208970674144,0.1944,0.9618,0.1928
151,15/9-F-1 A,3446.1,8.6249,39.4609,2.309,0.2346,-0.12234075588839138,-0.3144373888417702,-0.14014147951900718,-0.26042765554990815,0.1949,0.7935,0.2417
152,15/9-F-1 A,3446.2,8.5781,40.6409,2.3133,0.2349,-0.11086644403327607,-0.3292904047762029,0.04594853810533426,-0.16380251922107464,0.1924,0.6739,0.2511
153,15/9-F-1 A,3446.3,8.578,41.5707,2.3248,0.2354,-0.127727153775795,-0.3371477667352038,0.13779704305818652,-0.11628179803604037,0.1859,0.636,0.2584
154,15/9-F-1 A,3446.4,8.547,43.7888,2.3443,0.2375,-0.1468495635521573,-0.3435184842095014,0.2368142751712723,-0.08735289378168283,0.1747,0.6104,0.2761
155,15/9-F-1 A,3446.5,8.5782,45.8987,2.3714,0.2403,-0.14666689499766478,-0.34582345812203946,0.2764618041732441,-0.07227044022834549,0.1593,0.6349,0.2928
156,15/9-F-1 A,3446.6,8.625,46.7942,2.4024,0.2421,-0.14363367634075203,-0.3503731131594706,0.32103889272605485,-0.06138021849731891,0.1415,0.6691,0.2999
157,15/9-F-1 A,3446.7,8.625,47.533,2.4332,0.2438,-0.13394907599072503,-0.3500812812645808,0.3197720914263632,-0.049489107014003414,0.1239,0.7447,0.3057
158,15/9-F-1 A,3446.8,8.6251,50.6431,2.4606,0.2412,-0.1173616383039613,-0.3398937782767559,0.23844757714111903,-0.055122694036304626,0.1083,0.9005,0.3305
159,15/9-F-1 A,3446.9,8.6719,49.6992,2.4821,0.2315,-0.11131515334030107,-0.32670256024036426,0.14912669974261428,-0.07432700607875947,0.0959,1.0,0.32299999999999995
160,15/9-F-1 A,3447.0,8.6718,49.0361,2.4967,0.2222,-0.11013827874181162,-0.31015859086249525,0.048130927028967437,-0.10857405715200591,0.0876,1.0,0.3177
161,15/9-F-1 A,3447.1,8.6485,50.4159,2.504,0.2161,-0.10840679565103485,-0.2973110318408666,-0.047498152136976404,-0.13978181533124334,0.0834,1.0,0.3287
162,15/9-F-1 A,3447.2,8.6719,52.1439,2.5012,0.2079,-0.12971317100740865,-0.30050915472779555,-0.04633693625290868,-0.14272782643595863,0.085,1.0,0.3424
163,15/9-F-1 A,3447.3,8.6717,54.3085,2.485,0.2098,-0.18535293054814392,-0.31713320433767545,0.03354437609094778,-0.13159069668504003,0.0942,1.0,0.3596
164,15/9-F-1 A,3447.4,8.6015,55.4773,2.4574,0.2146,-0.2201871368294196,-0.32661042181169503,0.12681301004155268,-0.12056003400478296,0.11,0.9989,0.3688
165,15/9-F-1 A,3447.5,8.5781,58.4265,2.4252,0.2161,-0.17770112873763355,-0.3130064337353215,0.07441412984113574,-0.12656313677796308,0.1284,0.9337,0.3922
166,15/9-F-1 A,3447.6,8.5781,59.6856,2.3942,0.2163,-0.13318119707395185,-0.29929628285498067,0.04355874691473269,-0.1329451995232984,0.1461,0.8692,0.4023
167,15/9-F-1 A,3447.7,8.5781,59.5284,2.3661,0.217,-0.14002155835797916,-0.30416822717330777,0.1233942481055307,-0.11758931562603196,0.1622,0.7415,0.401
168,15/9-F-1 A,3447.8,8.578,60.641999999999996,2.338,0.2199,-0.16870625562299038,-0.31839700126913156,0.1792932055773737,-0.10840679565103485,0.1782,0.6536,0.4098
169,15/9-F-1 A,3447.9,8.5468,61.8973,2.3087,0.2256,-0.1996266451086505,-0.3293831135996745,0.15222717183814186,-0.12714475529518973,0.195,0.6251,0.4199
170,15/9-F-1 A,3448.0,8.5235,58.2046,2.2825,0.2304,-0.22665245801917694,-0.32901239698996576,0.03374533601397417,-0.18802305566304606,0.21,0.6543,0.3906
171,15/9-F-1 A,3448.1,8.5467,52.5207,2.2653,0.2262,-0.23225063265442014,-0.3169529617611504,-0.1887602272467106,-0.27043027369803013,0.2198,0.7709,0.3455
174,15/9-F-1 A,3448.4,8.5392,39.294000000000004,2.2558,0.2173,-0.3358282946380691,-0.2987775157434428,-0.4478186611606642,-0.37571790416433165,0.2253,0.9458,0.2405
175,15/9-F-1 A,3448.5,8.5781,37.7254,2.2554,0.2181,-0.380176499542722,-0.3060972589339394,-0.445389714773836,-0.3897658246656112,0.2255,0.9407,0.228
176,15/9-F-1 A,3448.6,8.5781,34.7868,2.2549,0.2204,-0.3915809486827146,-0.3122035886187054,-0.4400933749638875,-0.4074901520993199,0.2258,0.9309999999999999,0.2047
177,15/9-F-1 A,3448.7,8.5781,33.7568,2.2546,0.2227,-0.3962062958630371,-0.3174037085394467,-0.43320908761840826,-0.42021640338318983,0.2259,0.9229999999999999,0.1965
178,15/9-F-1 A,3448.8,8.5781,33.4752,2.2545,0.2239,-0.40197592766581036,-0.31713320433767545,-0.4411714751829884,-0.42078821976850084,0.226,0.9293,0.1943
179,15/9-F-1 A,3448.9,8.578,31.1855,2.2552,0.2236,-0.3855246339096047,-0.31042478424006176,-0.4464810598510304,-0.41465208890540906,0.2256,0.9321,0.1761
180,15/9-F-1 A,3449.0,8.547,31.1468,2.2574,0.2248,-0.3621101834192095,-0.302073555193495,-0.4451475656279455,-0.3942641061232534,0.2243,0.935,0.1758
181,15/9-F-1 A,3449.1,8.5781,30.566999999999997,2.2621,0.2224,-0.32624206345042334,-0.29387989029729644,-0.4212462155735654,-0.36804917374078305,0.2217,0.922,0.1712
182,15/9-F-1 A,3449.2,8.5781,31.1013,2.2698,0.2225,-0.2772838325115052,-0.2817474999022494,-0.3627104523218255,-0.32221060893113895,0.2173,0.887,0.1754
183,15/9-F-1 A,3449.3,8.5781,32.9957,2.28,0.2233,-0.24810531195625268,-0.2729469886461427,-0.2777775360302698,-0.26672246606741823,0.2114,0.8387,0.1904
184,15/9-F-1 A,3449.4,8.5781,32.9447,2.2921,0.2246,-0.2204756566752101,-0.26352381797230323,-0.18342730397389695,-0.20802879897923207,0.2045,0.7872,0.19
