,Unnamed: 0,wellName,MD,SW,PredictedSw
332,14425,15/9-F-11 B,3402.1,1.0,0.7141332
333,14426,15/9-F-11 B,3402.2,1.0,0.7168506
334,14427,15/9-F-11 B,3402.3,1.0,0.71052116
335,14428,15/9-F-11 B,3402.4,1.0,0.69187176
336,14429,15/9-F-11 B,3402.5,1.0,0.69012946
337,14430,15/9-F-11 B,3402.6,1.0,0.66450137
338,14435,15/9-F-11 B,3403.1,0.831,0.6537964
339,14436,15/9-F-11 B,3403.2,0.789,0.64562005
340,14437,15/9-F-11 B,3403.3,0.7440000000000001,0.64100987
341,14438,15/9-F-11 B,3403.4,0.73,0.6447527
342,14439,15/9-F-11 B,3403.5,0.7440000000000001,0.64692813
343,14440,15/9-F-11 B,3403.6,0.7759999999999999,0.6470501
344,14441,15/9-F-11 B,3403.7,0.8009999999999999,0.6387271
345,14442,15/9-F-11 B,3403.8,0.795,0.6399667
346,14443,15/9-F-11 B,3403.9,0.765,0.6404993
347,14444,15/9-F-11 B,3404.0,0.7390000000000001,0.63348967
348,14445,15/9-F-11 B,3404.1,0.737,0.6327267
349,14446,15/9-F-11 B,3404.2,0.76,0.63109756
350,14447,15/9-F-11 B,3404.3,0.812,0.637111
351,14448,15/9-F-11 B,3404.4,0.8420000000000001,0.64258677
352,14449,15/9-F-11 B,3404.5,0.861,0.6377711
353,14450,15/9-F-11 B,3404.6,0.871,0.63587743
354,14451,15/9-F-11 B,3404.7,0.866,0.6407424
355,14452,15/9-F-11 B,3404.8,0.8640000000000001,0.63640624
356,14453,15/9-F-11 B,3404.9,0.855,0.6395298
357,14454,15/9-F-11 B,3405.0,0.8240000000000001,0.6416083
358,14455,15/9-F-11 B,3405.1,0.795,0.6280726
359,14456,15/9-F-11 B,3405.2,0.762,0.64437443
360,14457,15/9-F-11 B,3405.3,0.731,0.63154644
361,14458,15/9-F-11 B,3405.4,0.701,0.61366314
362,14459,15/9-F-11 B,3405.5,0.665,0.60530734
363,14460,15/9-F-11 B,3405.6,0.647,0.6081013
364,14461,15/9-F-11 B,3405.7,0.652,0.6055967
365,14462,15/9-F-11 B,3405.8,0.665,0.61189187
366,14463,15/9-F-11 B,3405.9,0.691,0.61210895
367,14464,15/9-F-11 B,3406.0,0.7090000000000001,0.59866244
368,14465,15/9-F-11 B,3406.1,0.6609999999999999,0.5862209
369,14466,15/9-F-11 B,3406.2,0.628,0.57241005
370,14467,15/9-F-11 B,3406.3,0.624,0.5752644
371,14468,15/9-F-11 B,3406.4,0.622,0.57125276
372,14473,15/9-F-11 B,3406.9,0.722,0.5733287
373,14475,15/9-F-11 B,3407.1,0.741,0.57350653
374,14476,15/9-F-11 B,3407.2,0.767,0.5714015
375,14477,15/9-F-11 B,3407.3,0.7340000000000001,0.5813387
376,14478,15/9-F-11 B,3407.4,0.722,0.57902616
377,14479,15/9-F-11 B,3407.5,0.743,0.5719685
378,14480,15/9-F-11 B,3407.6,0.8109999999999999,0.56642956
