,wellName,MD,CALI,GR,RHOB,NPHI,RACEHM_l10,RACELM_l10,RPCEHM_l10,RPCELM_l10
7539,15/9-F-1 C,3573.7,8.5243,39.5735,2.2224,0.2364,1.3306896859168118,0.5279905891964337,1.0148732072918323,0.9042068579278506
27033,15/9-F-11 B,4662.9,8.703,10.343,2.487,0.124,0.9214263410152655,0.825555932290357,0.7439798652418429,0.7998228309933199
11826,15/9-F-1 C,4002.4,8.5243,18.5816,2.4197,0.1132,0.9844733044542289,0.5905966532563995,1.2266720668409383,1.0799586607681246
6762,15/9-F-1 C,3496.0,8.5243,31.1198,2.2592,0.1815,0.5182506513085,0.5338101750105696,0.5612206789339438,0.5172882912025094
15099,15/9-F-11 B,3469.5,8.672,16.575,2.574,0.111,1.5246946375163921,1.1291741029677675,0.9249508889156106,1.0831441431430522
6449,15/9-F-1 C,3464.7,8.5243,47.7818,2.3292,0.2435,0.41114812267430867,0.26259345802605066,0.435223046211029,0.41467257843572103
2084,15/9-F-1 A,3639.4,8.7148,60.7784,2.5283,0.1833,0.4023817642390977,0.356885941165974,0.3929957575773539,0.38822557252369844
6018,15/9-F-1 C,3421.6,8.6383,46.699,2.5836,0.1934,-0.09280368972839834,-0.006519680930003503,0.3565994357249708,0.03290067873267614
11306,15/9-F-1 C,3950.4,8.5569,22.9363,2.2774,0.1814,0.94019263553191,0.808481056565951,1.0113758766884116,0.9778744392813319
14289,15/9-F-11 B,3388.5,8.625,89.32700000000001,2.5869999999999997,0.299,0.28397928423847985,0.2823955047425256,0.3586960995738105,0.28307497473547155
13687,15/9-F-11 A,3698.4,8.648,43.405,2.269,0.23399999999999999,0.21722065564451878,0.25575478664304413,0.17143390094300825,0.20655604409902956
579,15/9-F-1 A,3488.9,8.6719,37.2183,2.5942,0.1013,0.400917723075448,0.19515213359328706,0.6230217432112457,0.4457131523799558
2252,15/9-F-1 B,3245.1,8.6638,61.7512,2.5991,0.20199999999999999,0.1588146467242266,0.24856174135957432,0.18847849591393492,0.18230049959333874
21869,15/9-F-11 B,4146.5,8.672,14.057,2.31,0.185,0.3660492098002354,0.4124605474299613,0.5678494505731068,0.4194600727860702
25611,15/9-F-11 B,4520.7,8.672,13.163,2.494,0.092,1.7591463027487146,1.6770134982459817,1.6582213344477108,1.6522947007252042
14635,15/9-F-11 B,3423.1,8.625,86.094,2.5269999999999997,0.282,0.25236751445989886,0.2564772062416767,0.393926006585837,0.2842050677017942
24290,15/9-F-11 B,4388.6,8.703,65.852,2.5180000000000002,0.22399999999999998,0.1389339402569236,0.169674434058807,0.15259407792746976,0.14674801363063983
2282,15/9-F-1 B,3248.1,8.613,18.9956,2.1947,0.1824,0.9869015554792488,0.9064374068513242,1.1388203843713498,1.067546941990101
26716,15/9-F-11 B,4631.2,8.656,35.138000000000005,2.293,0.207,0.6175245348862923,0.7000977046130538,0.6166855208955121,0.6196150057428064
24477,15/9-F-11 B,4407.3,8.766,34.086999999999996,2.5069999999999997,0.204,0.09968064110925012,0.09307130637606349,0.11793383503964142,0.09412159584056139
13757,15/9-F-11 A,3705.4,8.703,25.509,2.459,0.109,0.32878720035453457,0.32858344971420195,0.4234097277330935,0.34281731463573295
24949,15/9-F-11 B,4454.5,8.781,42.309,2.5540000000000003,0.163,0.17260293120985995,0.2314695904306813,0.19005141775920606,0.17289469775217617
21016,15/9-F-11 B,4061.2,8.703,72.919,2.5610000000000004,0.196,0.7561034477370333,0.9811840920459625,0.5498611884719428,0.6492374723496073
23466,15/9-F-11 B,4306.2,8.625,32.641999999999996,2.207,0.193,0.9145018228273141,0.8446014817393973,1.3129386090131352,0.9837615602861649
27481,15/9-F-11 B,4707.7,8.672,23.075,2.377,0.129,0.0021660617565076304,-0.025028005701931002,0.1354506993455137,0.050379756261457784
27814,15/9-F-11 B,4741.0,8.788,40.426,2.559,0.11699999999999999,0.4390167283875129,0.38129562300382597,0.7321524180652138,0.48784512011143555
7708,15/9-F-1 C,3590.6,8.5243,57.4692,2.3787,0.1915,0.5796006972744971,0.5276170136035175,0.6230631242957843,0.55662809954443
12583,15/9-F-11 A,3588.0,8.672,41.98,2.5660000000000003,0.22,-0.07262963696097648,-0.0291883891274822,0.017450729510536125,-0.036212172654444715
15831,15/9-F-11 B,3542.7,8.578,44.857,2.412,0.179,0.6825060859390112,0.5430742350335321,0.9490482923156638,0.7545776560447304
12863,15/9-F-11 A,3616.0,8.625,11.314,2.274,0.16,1.333870278826009,1.109308505246749,1.5337466454421493,1.455256102117952
9930,15/9-F-1 C,3812.8,8.5243,45.0086,2.2885,0.2076,0.7135493410743107,0.7675788187877007,0.6824880425861386,0.6976477382467051
2214,15/9-F-1 B,3241.3,8.6973,45.7838,2.6406,0.2731,-0.05878681241467872,-0.01605814101611181,-0.2737619531973625,-0.14917004015146906
26661,15/9-F-11 B,4625.7,8.656,29.226,2.39,0.156,1.0046652332478772,0.9956790605116221,0.9382694834629114,0.971322245242813
8100,15/9-F-1 C,3629.8,8.5243,21.3648,2.2767,0.1753,0.023458237643675228,0.3705315934430769,-0.11975822410451964,0.01882527800395082
12465,15/9-F-11 A,3576.2,8.672,93.596,2.536,0.23800000000000002,0.18920948958230613,0.21748394421390627,0.21085336531489318,0.2013971243204515
27829,15/9-F-11 B,4742.5,8.781,26.82,2.517,0.11900000000000001,0.33061666729443834,0.33505651943909154,0.17897694729316943,0.2355284469075489
